[0067.50] Log: Log file open, 06/04/16 22:23:35
[0067.50] Log: [TRICKNAME] 15.288685 : Show trick name
[0068.48] Log: [TRICKNAME] 16.281660 : Show trick name
[0069.49] Log: [TRICKNAME] 17.283649 : Show trick name
[0071.49] Log: [TRICKNAME] 19.290697 : Hide trick name
[0079.06] Log: [TRICKNAME] 26.860254 : Show trick name
[0080.06] Log: [TRICKNAME] 27.852884 : Show trick name
[0082.06] Log: [TRICKNAME] 29.856106 : Hide trick name
[0085.04] Log: [TRICKNAME] 32.840927 : Show trick name
[0086.04] Log: [TRICKNAME] 33.836651 : Show trick name
[0088.04] Log: [TRICKNAME] 35.837193 : Hide trick name
[0093.82] Log: [TRICKNAME] 41.620533 : Show trick name
[0094.82] Log: [TRICKNAME] 42.622860 : Show trick name
[0096.82] Log: [TRICKNAME] 44.623009 : Hide trick name
[0103.89] Log: [TRICKNAME] 51.689041 : Show trick name
[0105.89] Log: [TRICKNAME] 53.685863 : Hide trick name
[0111.40] Log: [TRICKNAME] 59.200207 : Show trick name
[0112.39] Log: [TRICKNAME] 60.192734 : Show trick name
[0114.40] Log: [TRICKNAME] 62.195778 : Hide trick name
[0141.61] Log: [TRICKNAME] 89.403763 : Show trick name
[0142.60] Log: [TRICKNAME] 90.402176 : Show trick name
[0144.61] Log: [TRICKNAME] 92.409172 : Hide trick name
[0152.22] Log: [TRICKNAME] 100.015030 : Show trick name
[0153.21] Log: [TRICKNAME] 101.010529 : Show trick name
[0155.22] Log: [TRICKNAME] 103.014740 : Hide trick name
[0166.38] Log: [TRICKNAME] 114.172630 : Show trick name
[0167.37] Log: [TRICKNAME] 115.164787 : Show trick name
[0169.38] Log: [TRICKNAME] 117.175850 : Hide trick name
[0178.07] Log: [TRICKNAME] 125.857536 : Show trick name
[0180.06] Log: [TRICKNAME] 127.850761 : Hide trick name
[0185.30] Log: [TRICKNAME] 133.087662 : Show trick name
[0186.29] Log: [TRICKNAME] 134.078232 : Show trick name
