[0286.49] Log: Log file open, 06/02/16 21:48:04
[0286.49] Log: [TRICKNAME] 214.439102 : Show trick name
[0287.43] Log: [TRICKNAME] 215.438644 : Show trick name
[0289.43] Log: [TRICKNAME] 217.438309 : Hide trick name
[0387.41] Log: [TRICKNAME] 315.394470 : Show trick name
[0388.40] Log: [TRICKNAME] 316.386597 : Show trick name
[0390.40] Log: [TRICKNAME] 318.389740 : Hide trick name
[0390.68] Log: [TRICKNAME] 318.665192 : Show trick name
[0391.68] Log: [TRICKNAME] 319.663940 : Show trick name
[0392.68] Log: [TRICKNAME] 320.671600 : Show trick name
[0393.68] Log: [TRICKNAME] 321.672180 : Show trick name
[0395.69] Log: [TRICKNAME] 323.672638 : Hide trick name
[0406.15] Log: [TRICKNAME] 334.130951 : Show trick name
[0407.15] Log: [TRICKNAME] 335.130432 : Show trick name
[0409.15] Log: [TRICKNAME] 337.131836 : Hide trick name
[0435.86] Log: [TRICKNAME] 363.842010 : Show trick name
[0436.85] Log: [TRICKNAME] 364.838623 : Show trick name
[0437.86] Log: [TRICKNAME] 365.843170 : Show trick name
[0438.86] Log: [TRICKNAME] 366.848907 : Show trick name
[0440.87] Log: [TRICKNAME] 368.850647 : Hide trick name
[0506.22] Log: [TRICKNAME] 434.202698 : Show trick name
[0507.21] Log: [TRICKNAME] 435.194000 : Show trick name
[0509.21] Log: [TRICKNAME] 437.197266 : Hide trick name
[0515.60] Log: [TRICKNAME] 443.581329 : Show trick name
[0516.59] Log: [TRICKNAME] 444.574219 : Show trick name
[0518.60] Log: [TRICKNAME] 446.579285 : Hide trick name
[0537.19] Log: [TRICKNAME] 465.176727 : Show trick name
[0538.19] Log: [TRICKNAME] 466.172516 : Show trick name
[0540.10] Log: [TRICKNAME] 468.083984 : Show trick name
[0541.10] Log: [TRICKNAME] 469.083740 : Show trick name
[0543.10] Log: [TRICKNAME] 471.085388 : Hide trick name
[0550.03] Log: [TRICKNAME] 478.015839 : Show trick name
[0551.03] Log: [TRICKNAME] 479.007935 : Show trick name
[0553.03] Log: [TRICKNAME] 481.008667 : Hide trick name
[0557.17] Log: [TRICKNAME] 485.146210 : Show trick name
[0558.16] Log: [TRICKNAME] 486.138580 : Show trick name
[0560.16] Log: [TRICKNAME] 488.139069 : Hide trick name
[0564.46] Log: [TRICKNAME] 492.437164 : Show trick name
[0565.46] Log: [TRICKNAME] 493.438324 : Show trick name
[0567.47] Log: [TRICKNAME] 495.445984 : Hide trick name
[0586.17] Log: [TRICKNAME] 514.145935 : Show trick name
[0587.16] Log: [TRICKNAME] 515.134583 : Show trick name
[0596.02] Log: [TRICKNAME] 523.997681 : Hide trick name
[0663.86] Log: [TRICKNAME] 591.824463 : Show trick name
[0664.85] Log: [TRICKNAME] 592.818481 : Show trick name
