[0118.94] Log: Log file open, 06/04/16 17:20:49
[0780.95] Log: [TRICKNAME] 708.102600 : Show trick name
[0782.51] Log: [TRICKNAME] 709.658447 : Show trick name
[0783.51] Log: [TRICKNAME] 710.663086 : Show trick name
[0785.51] Log: [TRICKNAME] 712.667236 : Hide trick name
[0799.26] Log: [TRICKNAME] 726.411438 : Show trick name
[0801.25] Log: [TRICKNAME] 728.403076 : Hide trick name
[0802.19] Log: [TRICKNAME] 729.343384 : Show trick name
[0803.19] Log: [TRICKNAME] 730.339233 : Show trick name
[0804.19] Log: [TRICKNAME] 731.341248 : Show trick name
[0805.56] Log: [TRICKNAME] 732.710999 : Show trick name
[0807.88] Log: [TRICKNAME] 735.025574 : Show trick name
[0808.88] Log: [TRICKNAME] 736.025940 : Show trick name
[0809.88] Log: [TRICKNAME] 737.031006 : Show trick name
[0811.89] Log: [TRICKNAME] 739.031677 : Hide trick name
[0826.56] Log: [TRICKNAME] 753.702454 : Show trick name
[0828.56] Log: [TRICKNAME] 755.699829 : Hide trick name
[0838.19] Log: [TRICKNAME] 765.331055 : Show trick name
[0839.18] Log: [TRICKNAME] 766.324829 : Show trick name
[0841.80] Log: [TRICKNAME] 768.947266 : Show trick name
[0842.87] Log: [TRICKNAME] 770.010010 : Show trick name
[0843.87] Log: [TRICKNAME] 771.012695 : Show trick name
[0844.88] Log: [TRICKNAME] 772.020935 : Show trick name
[0845.89] Log: [TRICKNAME] 773.030518 : Show trick name
[0846.90] Log: [TRICKNAME] 774.041504 : Show trick name
[0848.90] Log: [TRICKNAME] 776.044495 : Hide trick name
[0862.79] Log: [TRICKNAME] 789.928894 : Show trick name
[0864.78] Log: [TRICKNAME] 791.920837 : Hide trick name
[0866.87] Log: [TRICKNAME] 794.009155 : Show trick name
[0868.20] Log: [TRICKNAME] 795.337219 : Show trick name
[0869.20] Log: [TRICKNAME] 796.339172 : Show trick name
[0871.20] Log: [TRICKNAME] 798.342773 : Hide trick name
[0878.27] Log: [TRICKNAME] 805.408875 : Show trick name
[0880.95] Log: [TRICKNAME] 808.087097 : Show trick name
[0881.95] Log: [TRICKNAME] 809.092529 : Show trick name
[0883.95] Log: [TRICKNAME] 811.097290 : Hide trick name
[0902.37] Log: [TRICKNAME] 829.506409 : Show trick name
[0904.21] Log: [TRICKNAME] 831.343811 : Show trick name
[0905.21] Log: [TRICKNAME] 832.352295 : Show trick name
[0906.21] Log: [TRICKNAME] 833.353577 : Show trick name
[0907.81] Log: [TRICKNAME] 834.952820 : Show trick name
[0908.82] Log: [TRICKNAME] 835.961670 : Show trick name
[0909.83] Log: [TRICKNAME] 836.970276 : Show trick name
[0910.84] Log: [TRICKNAME] 837.978027 : Show trick name
[0912.84] Log: [TRICKNAME] 839.978516 : Hide trick name
[0937.39] Log: [TRICKNAME] 864.520569 : Show trick name
[0938.38] Log: [TRICKNAME] 865.515808 : Show trick name
[0940.38] Log: [TRICKNAME] 867.517639 : Hide trick name
[0951.86] Log: [TRICKNAME] 878.994629 : Show trick name
[0953.86] Log: [TRICKNAME] 880.989929 : Hide trick name
[0953.87] Log: [TRICKNAME] 881.005310 : Show trick name
[0954.86] Log: [TRICKNAME] 881.997437 : Show trick name
[0956.87] Log: [TRICKNAME] 884.002258 : Hide trick name
[0963.56] Log: [TRICKNAME] 890.694885 : Show trick name
[0965.56] Log: [TRICKNAME] 892.691406 : Hide trick name
[0971.87] Log: [TRICKNAME] 899.005310 : Show trick name
[0974.98] Log: [TRICKNAME] 902.112122 : Hide trick name
[0995.48] Log: [TRICKNAME] 922.610718 : Show trick name
[0997.48] Log: [TRICKNAME] 924.604126 : Hide trick name
[0999.16] Log: [TRICKNAME] 926.290039 : Show trick name
[1000.16] Log: [TRICKNAME] 927.285767 : Show trick name
[1001.16] Log: [TRICKNAME] 928.290649 : Show trick name
[1003.16] Log: [TRICKNAME] 930.292603 : Hide trick name
[1012.53] Log: [TRICKNAME] 939.654846 : Show trick name
[1014.52] Log: [TRICKNAME] 941.652710 : Hide trick name
[1015.76] Log: [TRICKNAME] 942.884949 : Show trick name
[1018.60] Log: [TRICKNAME] 945.732361 : Show trick name
[1056.04] Log: [TRICKNAME] 983.169250 : Hide trick name
[1089.51] Log: [TRICKNAME] 1016.633728 : Show trick name
[1091.51] Log: [TRICKNAME] 1018.629150 : Hide trick name
[1108.20] Log: [TRICKNAME] 1035.318604 : Show trick name
[1110.20] Log: [TRICKNAME] 1037.316040 : Hide trick name
[1119.28] Log: [TRICKNAME] 1046.392456 : Show trick name
[1121.27] Log: [TRICKNAME] 1048.390137 : Hide trick name
[1139.27] Log: [TRICKNAME] 1066.385742 : Show trick name
[1141.27] Log: [TRICKNAME] 1068.383667 : Hide trick name
[1156.20] Log: [TRICKNAME] 1083.311523 : Show trick name
[1158.20] Log: [TRICKNAME] 1085.309692 : Hide trick name
[1190.85] Log: [TRICKNAME] 1117.962891 : Show trick name
