[0146.12] Log: Log file open, 06/06/16 00:22:43
[1293.54] Log: [TRICKNAME] 941.652893 : Show trick name
[1295.55] Log: [TRICKNAME] 943.660339 : Hide trick name
[1388.33] Log: [TRICKNAME] 1036.436401 : Show trick name
[1389.32] Log: [TRICKNAME] 1037.428589 : Show trick name
[1391.33] Log: [TRICKNAME] 1039.430542 : Hide trick name
[1396.49] Log: [TRICKNAME] 1044.593872 : Show trick name
[1397.48] Log: [TRICKNAME] 1045.585938 : Show trick name
[1399.12] Log: [TRICKNAME] 1047.216309 : Show trick name
[1400.12] Log: [TRICKNAME] 1048.216064 : Show trick name
[1402.12] Log: [TRICKNAME] 1050.215576 : Hide trick name
[1426.12] Log: [TRICKNAME] 1074.213867 : Show trick name
[1427.11] Log: [TRICKNAME] 1075.209717 : Show trick name
[1428.12] Log: [TRICKNAME] 1076.212036 : Show trick name
[1429.12] Log: [TRICKNAME] 1077.213623 : Show trick name
[1431.12] Log: [TRICKNAME] 1079.218018 : Hide trick name
[1499.88] Log: [TRICKNAME] 1147.961060 : Show trick name
[1511.76] Log: [TRICKNAME] 1159.833130 : Show trick name
[1513.76] Log: [TRICKNAME] 1161.832642 : Hide trick name
[1556.53] Log: [TRICKNAME] 1204.597046 : Show trick name
[1557.53] Log: [TRICKNAME] 1205.589478 : Show trick name
[1559.53] Log: [TRICKNAME] 1207.593506 : Hide trick name
[1592.04] Log: [TRICKNAME] 1240.101196 : Show trick name
[1593.04] Log: [TRICKNAME] 1241.095581 : Show trick name
[1595.04] Log: [TRICKNAME] 1243.095703 : Hide trick name
[1618.64] Log: [TRICKNAME] 1266.692749 : Show trick name
[1619.64] Log: [TRICKNAME] 1267.685669 : Show trick name
[1621.64] Log: [TRICKNAME] 1269.686279 : Hide trick name
[1653.84] Log: [TRICKNAME] 1301.881836 : Show trick name
[1654.84] Log: [TRICKNAME] 1302.873901 : Show trick name
[1656.84] Log: [TRICKNAME] 1304.873535 : Hide trick name
[1660.23] Log: [TRICKNAME] 1308.265015 : Show trick name
[1661.22] Log: [TRICKNAME] 1309.257080 : Show trick name
[1663.23] Log: [TRICKNAME] 1311.263672 : Hide trick name
[1667.53] Log: [TRICKNAME] 1315.566284 : Show trick name
[1668.52] Log: [TRICKNAME] 1316.558350 : Show trick name
[1670.53] Log: [TRICKNAME] 1318.558350 : Hide trick name
[1736.91] Log: [TRICKNAME] 1384.924316 : Show trick name
[1737.90] Log: [TRICKNAME] 1385.916382 : Show trick name
[1738.90] Log: [TRICKNAME] 1386.916138 : Show trick name
[1739.91] Log: [TRICKNAME] 1387.918457 : Show trick name
[1741.91] Log: [TRICKNAME] 1389.919189 : Hide trick name
[1887.97] Log: [TRICKNAME] 1535.937012 : Show trick name
[1888.96] Log: [TRICKNAME] 1536.931030 : Show trick name
[1890.97] Log: [TRICKNAME] 1538.934937 : Hide trick name
[2045.94] Log: [TRICKNAME] 1693.864380 : Show trick name
[2046.93] Log: [TRICKNAME] 1694.856445 : Show trick name
[2048.93] Log: [TRICKNAME] 1696.856323 : Hide trick name
[2050.56] Log: [TRICKNAME] 1698.479004 : Show trick name
[2051.55] Log: [TRICKNAME] 1699.471191 : Show trick name
[2053.55] Log: [TRICKNAME] 1701.477417 : Hide trick name
[2085.47] Log: [TRICKNAME] 1733.381348 : Show trick name
[2086.46] Log: [TRICKNAME] 1734.373413 : Show trick name
[2088.46] Log: [TRICKNAME] 1736.372925 : Hide trick name
[2092.95] Log: [TRICKNAME] 1740.865356 : Show trick name
[2093.95] Log: [TRICKNAME] 1741.857666 : Show trick name
[2095.95] Log: [TRICKNAME] 1743.865723 : Hide trick name
[2113.48] Log: [TRICKNAME] 1761.383423 : Show trick name
[2114.47] Log: [TRICKNAME] 1762.379761 : Show trick name
[2116.48] Log: [TRICKNAME] 1764.385620 : Hide trick name
[2121.00] Log: [TRICKNAME] 1768.901367 : Show trick name
[2121.99] Log: [TRICKNAME] 1769.893433 : Show trick name
[2123.99] Log: [TRICKNAME] 1771.895874 : Hide trick name
[2127.71] Log: [TRICKNAME] 1775.615601 : Show trick name
[2128.71] Log: [TRICKNAME] 1776.611572 : Show trick name
[2130.71] Log: [TRICKNAME] 1778.612671 : Hide trick name
[2141.10] Log: [TRICKNAME] 1788.998901 : Show trick name
[2142.09] Log: [TRICKNAME] 1789.990967 : Show trick name
[2143.10] Log: [TRICKNAME] 1790.997437 : Show trick name
[2144.11] Log: [TRICKNAME] 1792.004517 : Show trick name
[2146.11] Log: [TRICKNAME] 1794.004272 : Hide trick name
[2171.31] Log: [TRICKNAME] 1819.201660 : Show trick name
[2172.30] Log: [TRICKNAME] 1820.194702 : Show trick name
[2174.30] Log: [TRICKNAME] 1822.194580 : Hide trick name
[2190.12] Log: [TRICKNAME] 1838.011963 : Show trick name
[2191.11] Log: [TRICKNAME] 1839.004150 : Show trick name
[2193.11] Log: [TRICKNAME] 1841.003662 : Hide trick name
[2199.78] Log: [TRICKNAME] 1847.663452 : Show trick name
[2200.78] Log: [TRICKNAME] 1848.662842 : Show trick name
[2201.78] Log: [TRICKNAME] 1849.669067 : Show trick name
[2202.78] Log: [TRICKNAME] 1850.669922 : Show trick name
[2204.79] Log: [TRICKNAME] 1852.674805 : Hide trick name
[2240.16] Log: [TRICKNAME] 1888.035767 : Show trick name
[2241.15] Log: [TRICKNAME] 1889.027954 : Show trick name
[2242.93] Log: [TRICKNAME] 1890.804565 : Show trick name
[2243.93] Log: [TRICKNAME] 1891.808960 : Show trick name
[2245.93] Log: [TRICKNAME] 1893.809692 : Hide trick name
[2273.64] Log: [TRICKNAME] 1921.508423 : Show trick name
[2274.64] Log: [TRICKNAME] 1922.503418 : Show trick name
[2276.64] Log: [TRICKNAME] 1924.506348 : Hide trick name
[2317.06] Log: [TRICKNAME] 1964.920288 : Show trick name
[2318.06] Log: [TRICKNAME] 1965.917969 : Show trick name
[2320.06] Log: [TRICKNAME] 1967.918701 : Hide trick name
[2383.57] Log: [TRICKNAME] 2031.421265 : Show trick name
[2384.57] Log: [TRICKNAME] 2032.413330 : Show trick name
[2386.57] Log: [TRICKNAME] 2034.415039 : Hide trick name
[2450.08] Log: [TRICKNAME] 2098.085449 : Show trick name
[2451.08] Log: [TRICKNAME] 2099.083252 : Show trick name
[2453.08] Log: [TRICKNAME] 2101.086670 : Hide trick name
[2497.79] Log: [TRICKNAME] 2146.110840 : Show trick name
[2498.78] Log: [TRICKNAME] 2147.118652 : Show trick name
[2500.79] Log: [TRICKNAME] 2149.141113 : Hide trick name
[2505.20] Log: [TRICKNAME] 2153.616455 : Show trick name
[2506.19] Log: [TRICKNAME] 2154.624268 : Show trick name
[2508.19] Log: [TRICKNAME] 2156.646484 : Hide trick name
[2512.08] Log: [TRICKNAME] 2160.542969 : Show trick name
[2513.07] Log: [TRICKNAME] 2161.552490 : Show trick name
